STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,HPCP,Measurement Flag,Quality Flag
COOP:413691,GRAPEVINE DAM TX US,178.3,32.96667,-97.05,19890901 01:00,0.00,g, 
COOP:413691,GRAPEVINE DAM TX US,178.3,32.96667,-97.05,19890911 05:00,22.86, , 
COOP:413691,GRAPEVINE DAM TX US,178.3,32.96667,-97.05,19890911 06:00,5.08, , 
COOP:413691,GRAPEVINE DAM TX US,178.3,32.96667,-97.05,19890911 08:00,2.54, , 
COOP:413691,GRAPEVINE DAM TX US,178.3,32.96667,-97.05,19890911 09:00,5.08, , 
COOP:413691,GRAPEVINE DAM TX US,178.3,32.96667,-97.05,19890911 10:00,5.08, , 
COOP:413691,GRAPEVINE DAM TX US,178.3,32.96667,-97.05,19890913 04:00,27.94, , 
COOP:413691,GRAPEVINE DAM TX US,178.3,32.96667,-97.05,19890913 05:00,2.54, , 
COOP:413691,GRAPEVINE DAM TX US,178.3,32.96667,-97.05,19890913 07:00,2.54, , 
COOP:413691,GRAPEVINE DAM TX US,178.3,32.96667,-97.05,19890913 10:00,2.54, , 
COOP:413691,GRAPEVINE DAM TX US,178.3,32.96667,-97.05,19891001 01:00,0.00,g, 
COOP:413691,GRAPEVINE DAM TX US,178.3,32.96667,-97.05,19891018 02:00,2.54, , 
COOP:413691,GRAPEVINE DAM TX US,178.3,32.96667,-97.05,19891018 03:00,2.54, , 
COOP:413691,GRAPEVINE DAM TX US,178.3,32.96667,-97.05,19891030 04:00,12.70, , 
COOP:413691,GRAPEVINE DAM TX US,178.3,32.96667,-97.05,19891030 05:00,7.62, , 
COOP:413691,GRAPEVINE DAM TX US,178.3,32.96667,-97.05,19891030 06:00,5.08, , 
COOP:413691,GRAPEVINE DAM TX US,178.3,32.96667,-97.05,19891101 01:00,0.00,g, 
COOP:413691,GRAPEVINE DAM TX US,178.3,32.96667,-97.05,19891122 04:00,2.54, , 
COOP:413691,GRAPEVINE DAM TX US,178.3,32.96667,-97.05,19891122 05:00,2.54, , 
COOP:413691,GRAPEVINE DAM TX US,178.3,32.96667,-97.05,19891122 06:00,2.54, , 
COOP:413691,GRAPEVINE DAM TX US,178.3,32.96667,-97.05,19891122 07:00,2.54, , 
COOP:413691,GRAPEVINE DAM TX US,178.3,32.96667,-97.05,19891122 15:00,2.54, , 
COOP:413691,GRAPEVINE DAM TX US,178.3,32.96667,-97.05,19891201 01:00,0.00,g, 
COOP:413691,GRAPEVINE DAM TX US,178.3,32.96667,-97.05,19891230 11:00,2.54, , 
COOP:413691,GRAPEVINE DAM TX US,178.3,32.96667,-97.05,19891230 15:00,2.54, , 
COOP:413691,GRAPEVINE DAM TX US,178.3,32.96667,-97.05,19891230 17:00,2.54, , 
COOP:413691,GRAPEVINE DAM TX US,178.3,32.96667,-97.05,19900101 01:00,0.00,g, 
COOP:413691,GRAPEVINE DAM TX US,178.3,32.96667,-97.05,19900103 03:00,2.54, , 
COOP:413691,GRAPEVINE DAM TX US,178.3,32.96667,-97.05,19900103 07:00,2.54, , 
COOP:413691,GRAPEVINE DAM TX US,178.3,32.96667,-97.05,19900110 10:00,25399.75,{, 
COOP:413691,GRAPEVINE DAM TX US,178.3,32.96667,-97.05,19900201 00:00,25399.75,}, 
COOP:413691,GRAPEVINE DAM TX US,178.3,32.96667,-97.05,19900201 01:00,25399.75,{, 
COOP:413691,GRAPEVINE DAM TX US,178.3,32.96667,-97.05,19900203 08:00,25399.75,}, 
COOP:413691,GRAPEVINE DAM TX US,178.3,32.96667,-97.05,19900209 11:00,5.08, , 
COOP:413691,GRAPEVINE DAM TX US,178.3,32.96667,-97.05,19900209 12:00,2.54, , 
COOP:413691,GRAPEVINE DAM TX US,178.3,32.96667,-97.05,19900209 21:00,2.54, , 
COOP:413691,GRAPEVINE DAM TX US,178.3,32.96667,-97.05,19900209 22:00,2.54, , 
COOP:413691,GRAPEVINE DAM TX US,178.3,32.96667,-97.05,19900215 11:00,2.54, , 
COOP:413691,GRAPEVINE DAM TX US,178.3,32.96667,-97.05,19900221 10:00,5.08, , 
COOP:413691,GRAPEVINE DAM TX US,178.3,32.96667,-97.05,19900221 11:00,2.54, , 
COOP:413691,GRAPEVINE DAM TX US,178.3,32.96667,-97.05,19900221 12:00,5.08, , 
COOP:413691,GRAPEVINE DAM TX US,178.3,32.96667,-97.05,19900221 13:00,2.54, , 
COOP:413691,GRAPEVINE DAM TX US,178.3,32.96667,-97.05,19900221 14:00,5.08, , 
COOP:413691,GRAPEVINE DAM TX US,178.3,32.96667,-97.05,19900228 05:00,2.54, , 
COOP:413691,GRAPEVINE DAM TX US,178.3,32.96667,-97.05,19900228 06:00,2.54, , 
COOP:413691,GRAPEVINE DAM TX US,178.3,32.96667,-97.05,19900228 07:00,5.08, , 
COOP:413691,GRAPEVINE DAM TX US,178.3,32.96667,-97.05,19900228 09:00,2.54, , 
COOP:413691,GRAPEVINE DAM TX US,178.3,32.96667,-97.05,19900301 01:00,0.00,g, 
COOP:413691,GRAPEVINE DAM TX US,178.3,32.96667,-97.05,19900301 16:00,25399.75,[, 
COOP:413691,GRAPEVINE DAM TX US,178.3,32.96667,-97.05,19900302 15:00,25399.75,], 
COOP:413691,GRAPEVINE DAM TX US,178.3,32.96667,-97.05,19900306 17:00,25399.75,{, 
COOP:413691,GRAPEVINE DAM TX US,178.3,32.96667,-97.05,19900401 00:00,25399.75,}, 
COOP:413691,GRAPEVINE DAM TX US,178.3,32.96667,-97.05,19900401 01:00,0.00,g, 
COOP:413691,GRAPEVINE DAM TX US,178.3,32.96667,-97.05,19900405 21:00,17.78, , 
COOP:413691,GRAPEVINE DAM TX US,178.3,32.96667,-97.05,19900405 22:00,5.08, , 
COOP:413691,GRAPEVINE DAM TX US,178.3,32.96667,-97.05,19900406 05:00,2.54, , 
COOP:413691,GRAPEVINE DAM TX US,178.3,32.96667,-97.05,19900410 02:00,2.54, , 
COOP:413691,GRAPEVINE DAM TX US,178.3,32.96667,-97.05,19900410 03:00,10.16, , 
COOP:413691,GRAPEVINE DAM TX US,178.3,32.96667,-97.05,19900410 04:00,5.08, , 
COOP:413691,GRAPEVINE DAM TX US,178.3,32.96667,-97.05,19900413 08:00,2.54, , 
COOP:413691,GRAPEVINE DAM TX US,178.3,32.96667,-97.05,19900413 09:00,5.08, , 
COOP:413691,GRAPEVINE DAM TX US,178.3,32.96667,-97.05,19900414 02:00,10.16, , 
COOP:413691,GRAPEVINE DAM TX US,178.3,32.96667,-97.05,19900414 03:00,22.86, , 
