year,Week,Day,Date,,,OT,,Opp,Score Tm,Score Opp,Passing Cmp,Passing Att,Passing Yds,Passing TD,Passing Int,Passing Sk,Passing Yds,Passing Y/A,Passing NY/A,Passing Cmp%,Passing Rate,Rushing Att,Rushing Yds,Rushing Y/A,Rushing TD,Scoring FGM,Scoring FGA,Scoring XPM,Scoring XPA,Punting Pnt,Punting Yds,Downs 3DConv,Downs 3DAtt,Downs 4DConv,Downs 4DAtt,ToP
1989,1,Sun,September 10,boxscore,L,,@,New Orleans Saints,0,28,16,19,145,0,0,1,8,8.1,7.3,84.2,98.5,45,199,4.4,3,0,0,4,4,3,270,,,,,44:02
1989,2,Sun,September 17,boxscore,L,,@,Atlanta Falcons,21,27,21,29,243,0,0,2,12,8.8,7.8,72.4,97.3,30,90,3.0,2,2,3,3,3,4,55,,,,,30:09
1989,3,Sun,September 24,boxscore,L,,,Washington Redskins,7,30,15,37,208,0,0,1,8,5.8,5.5,40.5,59.3,40,165,4.1,2,3,3,3,3,7,189,,,,,39:13
1989,4,Sun,October 1,boxscore,L,,,New York Giants,13,30,14,19,205,2,3,1,6,11.1,10.3,73.7,103.9,36,137,3.8,1,3,3,3,3,1,38,,,,,29:08
1989,5,Sun,October 8,boxscore,L,,@,Green Bay Packers,13,31,21,32,313,4,0,0,0,9.8,9.8,65.6,137.1,45,189,4.2,0,1,3,4,4,3,33,,,,,39:58
1989,6,Sun,October 15,boxscore,L,,,San Francisco 49ers,14,31,13,18,172,2,1,1,2,9.7,9.1,72.2,116.0,31,146,4.7,1,1,1,4,4,2,160,,,,,30:40
1989,7,Sun,October 22,boxscore,L,,@,Kansas City Chiefs,28,36,17,25,221,0,0,2,16,9.5,8.2,68.0,95.6,43,202,4.7,4,2,2,4,4,4,69,,,,,38:33
1989,8,Sun,October 29,boxscore,L,,,Phoenix Cardinals,10,19,17,31,142,0,0,4,22,5.3,4.1,54.8,66.9,44,158,3.6,0,4,4,1,1,8,277,,,,,39:25
1989,9,Sun,November 5,boxscore,W,,@,Washington Redskins,13,3,28,52,296,0,2,0,0,5.7,5.7,53.8,54.6,21,50,2.4,0,1,2,0,0,5,112,,,,,32:16
1989,10,Sun,November 12,boxscore,L,,@,Phoenix Cardinals,20,24,21,35,316,2,0,3,20,9.6,8.3,60.0,108.7,24,69,2.9,0,1,3,3,3,6,152,,,,,27:45
1989,11,Sun,November 19,boxscore,L,,,Miami Dolphins,14,17,21,36,238,1,0,2,17,7.1,6.3,58.3,87.5,19,65,3.4,1,1,1,2,2,5,105,,,,,26:12
1989,12,Thu,November 23,boxscore,L,,,Philadelphia Eagles,0,27,22,35,243,2,0,0,0,6.9,6.9,62.9,102.4,34,138,4.1,1,2,2,3,3,4,58,,,,,37:57
1989,13,Sun,December 3,boxscore,L,,,Los Angeles Rams,31,35,27,37,325,4,1,2,16,9.2,8.3,73.0,124.3,28,78,2.8,1,0,0,5,5,5,97,,,,,32:21
1989,14,Sun,December 10,boxscore,L,,@,Philadelphia Eagles,10,20,18,32,158,2,0,4,25,5.7,4.4,56.3,90.4,35,122,3.5,0,2,3,2,2,7,190,,,,,29:39
1989,15,Sat,December 16,boxscore,L,,@,New York Giants,0,15,9,19,133,0,0,2,6,7.3,6.3,47.4,70.7,46,140,3.0,1,3,3,0,1,5,95,,,,,41:59
1989,16,Sun,December 24,boxscore,L,,,Green Bay Packers,10,20,21,32,207,2,0,4,25,7.3,5.8,65.6,104.6,22,43,2.0,0,2,2,2,2,4,71,,,,,30:44
1990,1,Sun,September 9,boxscore,W,,,San Diego Chargers,17,14,18,34,127,1,1,1,13,4.1,3.6,52.9,59.3,23,85,3.7,1,0,1,2,2,5,96,,,,,27:17
1990,2,Sun,September 16,boxscore,L,,,New York Giants,7,28,16,21,208,1,0,0,0,9.9,9.9,76.2,122.7,51,161,3.2,2,0,0,4,4,3,38,,,,,41:40
1990,3,Sun,September 23,boxscore,L,,@,Washington Redskins,15,19,13,30,135,0,0,3,20,5.2,4.1,43.3,56.9,22,79,3.6,0,4,4,1,1,5,97,,,,,25:53
1990,4,Sun,September 30,boxscore,L,,@,New York Giants,17,31,18,24,198,3,0,2,14,8.8,7.6,75.0,138.5,33,136,4.1,1,1,2,4,4,2,172,,,,,35:38
1990,5,Sun,October 7,boxscore,W,,,Tampa Bay Buccaneers,14,10,13,21,164,1,0,4,30,9.2,6.6,61.9,102.1,25,107,4.3,0,1,1,1,1,6,160,,,,,26:08
1990,6,Sun,October 14,boxscore,L,,@,Phoenix Cardinals,3,20,20,28,191,0,0,0,0,6.8,6.8,71.4,90.0,41,223,5.4,2,2,2,2,2,3,38,,,,,35:39
1990,7,Sun,October 21,boxscore,W,,@,Tampa Bay Buccaneers,17,13,22,35,241,1,3,6,53,8.4,5.9,62.9,57.0,24,90,3.8,0,2,3,1,1,3,46,,,,,33:25
1990,8,Sun,October 28,boxscore,L,,,Philadelphia Eagles,20,21,17,30,160,2,0,2,23,6.1,5.0,56.7,93.7,29,144,5.0,1,0,0,3,3,5,76,,,,,28:42
1990,9,Sun,November 4,boxscore,L,,@,New York Jets,9,24,8,25,71,0,0,2,16,3.5,2.6,32.0,41.2,23,116,5.0,2,1,1,3,3,5,112,,,,,24:04
1990,10,Sun,November 11,boxscore,L,,,San Francisco 49ers,6,24,27,37,281,1,1,2,9,7.8,7.2,73.0,92.3,35,107,3.1,2,1,3,3,3,2,80,,,,,40:39
1990,11,Sun,November 18,boxscore,W,,@,Los Angeles Rams,24,21,14,25,124,0,0,2,15,5.6,4.6,56.0,69.4,31,168,5.4,3,0,0,3,3,7,207,,,,,29:37
1990,12,Thu,November 22,boxscore,W,,,Washington Redskins,27,17,26,54,261,1,1,2,6,4.9,4.7,48.1,60.8,15,36,2.4,1,1,2,2,2,6,132,,,,,25:12
1990,13,Sun,December 2,boxscore,W,,,New Orleans Saints,17,13,18,27,170,0,0,1,7,6.6,6.1,66.7,83.9,27,113,4.2,1,2,2,1,1,4,58,,,,,32:44
1990,15,Sun,December 16,boxscore,W,,,Phoenix Cardinals,41,10,14,35,151,0,3,0,0,4.3,4.3,40.0,17.7,21,49,2.3,1,1,1,1,1,7,221,,,,,23:02
1990,16,Sun,December 23,boxscore,L,,@,Philadelphia Eagles,3,17,17,29,98,1,2,5,64,5.6,2.9,58.6,47.8,36,178,4.9,0,1,2,2,2,4,78,,,,,35:31
1990,17,Sun,December 30,boxscore,L,,@,Atlanta Falcons,7,26,10,15,59,0,0,4,22,5.4,3.1,66.7,74.0,46,184,4.0,1,1,2,3,3,3,40,,,,,37:02
1991,1,Sun,September 1,boxscore,W,,@,Cleveland Browns,26,14,22,31,243,1,0,1,6,8.0,7.6,71.0,104.6,14,32,2.3,1,0,1,2,2,4,54,4,10,0,1,21:49
1991,2,Mon,September 9,boxscore,L,,,Washington Redskins,31,33,14,26,192,2,1,1,11,7.8,7.1,53.8,87.3,33,140,4.2,1,4,4,3,3,3,31,3,11,1,2,31:24
1991,3,Sun,September 15,boxscore,L,,,Philadelphia Eagles,0,24,18,29,207,2,0,0,0,7.1,7.1,62.1,106.5,29,55,1.9,1,1,2,3,3,5,122,7,14,0,0,37:13
1991,4,Sun,September 22,boxscore,W,,@,Phoenix Cardinals,17,9,24,38,220,0,0,3,22,6.4,5.4,63.2,78.8,31,102,3.3,0,3,4,0,0,3,42,9,18,0,1,37:52
1991,5,Sun,September 29,boxscore,W,,,New York Giants,21,16,28,34,368,1,1,0,0,10.8,10.8,82.4,109.3,26,119,4.6,0,3,4,1,1,0,0,5,8,0,0,31:59
1991,6,Sun,October 6,boxscore,W,,@,Green Bay Packers,20,17,18,35,199,1,2,2,13,6.1,5.4,51.4,54.3,14,60,4.3,0,1,1,2,2,5,92,4,9,0,0,19:08
1991,7,Sun,October 13,boxscore,W,,,Cincinnati Bengals,35,23,17,31,178,0,2,2,13,6.2,5.4,54.8,44.8,30,174,5.8,2,3,3,2,2,3,48,4,12,1,2,31:09
1991,9,Sun,October 27,boxscore,L,,@,Detroit Lions,10,34,12,19,136,2,0,1,2,7.3,6.8,63.2,119.6,28,72,2.6,0,2,2,4,4,4,78,5,11,0,0,29:28
1991,10,Sun,November 3,boxscore,W,,,Phoenix Cardinals,27,7,15,34,130,0,2,0,0,3.8,3.8,44.1,30.3,24,109,4.5,1,0,0,1,1,6,95,5,13,0,1,25:40
1991,11,Sun,November 10,boxscore,L,OT,@,Houston Oilers,23,26,41,56,425,0,0,2,7,7.7,7.3,73.2,94.7,28,158,5.6,2,4,5,2,2,4,364,7,15,0,0,48:34
1991,12,Sun,November 17,boxscore,L,,@,New York Giants,9,22,14,22,177,1,0,1,5,8.3,7.7,63.6,103.8,41,138,3.4,1,3,3,1,2,2,170,4,12,3,3,36:37
1991,13,Sun,November 24,boxscore,W,,@,Washington Redskins,24,21,17,33,212,1,1,0,0,6.4,6.4,51.5,69.3,17,50,2.9,1,0,0,3,3,6,140,4,11,1,1,21:16
1991,14,Thu,November 28,boxscore,W,,,Pittsburgh Steelers,20,10,17,36,134,0,0,3,33,4.6,3.4,47.2,56.9,21,65,3.1,1,1,2,1,1,4,62,4,13,0,0,25:45
1991,15,Sun,December 8,boxscore,W,,,New Orleans Saints,23,14,26,40,229,2,1,1,9,6.0,5.6,65.0,86.4,19,99,5.2,0,0,1,2,2,3,42,4,10,1,3,28:48
1991,16,Sun,December 15,boxscore,W,,@,Philadelphia Eagles,25,13,18,37,129,1,2,4,21,4.1,3.1,48.6,43.6,27,111,4.1,0,2,3,1,1,6,145,2,14,0,2,32:44
1991,17,Sun,December 22,boxscore,W,,,Atlanta Falcons,31,27,19,39,316,3,0,2,9,8.3,7.7,48.7,102.1,18,87,4.8,0,2,4,3,3,3,300,5,13,0,1,26:06
1991,18,Sun,December 29,boxscore,W,,@,Chicago Bears,17,13,23,45,222,1,2,3,11,5.2,4.6,51.1,54.1,34,150,4.4,0,2,2,1,1,1,0,10,17,1,3,37:29
1991,19,Sun,January 5,boxscore,L,,@,Detroit Lions,6,38,29,38,337,3,0,1,4,9.0,8.6,76.3,128.9,16,84,5.3,1,1,1,5,5,5,115,,,,,
1992,1,Mon,September 7,boxscore,W,,,Washington Redskins,23,10,20,38,185,1,0,2,19,5.4,4.6,52.6,75.0,22,75,3.4,0,1,1,1,1,7,212,4,14,0,1,26:47
1992,2,Sun,September 13,boxscore,W,,@,New York Giants,34,28,25,42,264,3,1,2,9,6.5,6.0,59.5,91.8,18,67,3.7,1,0,0,4,4,7,148,2,10,1,1,28:39
1992,3,Sun,September 20,boxscore,W,,,Phoenix Cardinals,31,20,28,43,371,1,0,2,12,8.9,8.2,65.1,100.0,17,67,3.9,1,2,2,2,2,2,21,2,11,2,3,25:59
1992,5,Mon,October 5,boxscore,L,,@,Philadelphia Eagles,7,31,11,19,106,0,1,2,18,6.5,5.0,57.9,51.6,36,160,4.4,4,1,1,4,4,4,84,7,13,0,0,30:45
1992,6,Sun,October 11,boxscore,W,,,Seattle Seahawks,27,0,8,19,24,0,1,7,55,4.2,.9,42.1,27.7,22,38,1.7,0,0,1,0,0,8,310,1,12,0,0,26:44
1992,7,Sun,October 18,boxscore,W,,,Kansas City Chiefs,17,10,16,31,139,0,1,3,31,5.5,4.1,51.6,50.3,25,91,3.6,1,1,1,1,1,6,140,5,14,1,1,30:47
1992,8,Sun,October 25,boxscore,W,,@,Los Angeles Raiders,28,13,8,26,94,1,0,3,23,4.5,3.2,30.8,55.6,20,71,3.6,1,0,0,1,1,6,162,0,8,0,1,22:43
1992,9,Sun,November 1,boxscore,W,,,Philadelphia Eagles,20,10,13,27,117,0,2,2,18,5.0,4.0,48.1,29.4,21,73,3.5,1,1,1,1,1,8,292,1,10,0,0,24:40
1992,10,Sun,November 8,boxscore,W,,@,Detroit Lions,37,3,9,17,77,0,3,2,13,5.3,4.1,52.9,25.5,22,124,5.6,0,1,1,0,0,5,92,0,7,0,0,22:03
1992,11,Sun,November 15,boxscore,L,,,Los Angeles Rams,23,27,22,37,244,2,0,1,7,6.8,6.4,59.5,97.1,32,123,3.8,1,2,2,3,3,4,58,8,15,0,0,33:28
1992,12,Sun,November 22,boxscore,W,,@,Phoenix Cardinals,16,10,15,24,103,1,0,2,15,4.9,4.0,62.5,85.9,18,46,2.6,0,1,1,1,1,6,158,2,10,0,0,23:51
1992,13,Thu,November 26,boxscore,W,,,New York Giants,30,3,14,31,127,0,0,4,30,5.1,3.6,45.2,56.8,22,80,3.6,0,1,3,0,0,8,234,3,16,0,0,25:24
