year,Week,Day,Date,,,OT,,Opp,Score Tm,Score Opp,Passing Cmp,Passing Att,Passing Yds,Passing TD,Passing Int,Passing Sk,Passing Yds,Passing Y/A,Passing NY/A,Passing Cmp%,Passing Rate,Rushing Att,Rushing Yds,Rushing Y/A,Rushing TD,Scoring FGM,Scoring FGA,Scoring XPM,Scoring XPA,Punting Pnt,Punting Yds,Downs 3DConv,Downs 3DAtt,Downs 4DConv,Downs 4DAtt,ToP
1989,1,Sun,September 10,boxscore,L,,@,New Orleans Saints,0,28,18,36,154,0,2,2,30,5.1,4.1,50.0,38.4,10,20,2.0,0,0,0,0,0,6,271,,,,,15:58
1989,2,Sun,September 17,boxscore,L,,@,Atlanta Falcons,21,27,13,23,241,1,2,0,0,10.5,10.5,56.5,71.1,30,108,3.6,2,0,0,3,3,4,177,,,,,29:51
1989,3,Sun,September 24,boxscore,L,,,Washington Redskins,7,30,15,39,156,0,4,4,27,4.7,3.6,38.5,11.2,15,34,2.3,0,0,0,1,1,7,295,,,,,20:47
1989,4,Sun,October 1,boxscore,L,,,New York Giants,13,30,14,30,201,1,2,0,0,6.7,6.7,46.7,52.2,31,87,2.8,0,2,3,1,1,5,227,,,,,30:52
1989,5,Sun,October 8,boxscore,L,,@,Green Bay Packers,13,31,18,29,168,1,1,3,25,6.7,5.3,62.1,75.1,13,45,3.5,0,0,1,1,2,7,278,,,,,20:02
1989,6,Sun,October 15,boxscore,L,,,San Francisco 49ers,14,31,23,36,270,1,2,4,24,8.2,6.8,63.9,72.7,20,60,3.0,1,0,2,2,2,2,75,,,,,29:20
1989,7,Sun,October 22,boxscore,L,,@,Kansas City Chiefs,28,36,14,29,166,1,0,0,0,5.7,5.7,48.3,77.7,17,116,6.8,2,0,0,4,4,5,176,,,,,21:27
1989,8,Sun,October 29,boxscore,L,,,Phoenix Cardinals,10,19,21,49,264,1,2,0,0,5.4,5.4,42.9,50.0,15,45,3.0,0,1,2,1,1,6,254,,,,,20:35
1989,9,Sun,November 5,boxscore,W,,@,Washington Redskins,13,3,10,30,114,0,0,3,28,4.7,3.5,33.3,45.7,29,148,5.1,1,2,3,1,1,6,257,,,,,27:44
1989,10,Sun,November 12,boxscore,L,,@,Phoenix Cardinals,20,24,21,40,367,2,2,1,12,9.5,9.0,52.5,79.9,25,77,3.1,0,2,2,2,2,6,255,,,,,32:15
1989,11,Sun,November 19,boxscore,L,,,Miami Dolphins,14,17,25,33,261,1,1,0,0,7.9,7.9,75.8,95.6,35,167,4.8,1,0,2,2,2,2,62,,,,,33:48
1989,12,Thu,November 23,boxscore,L,,,Philadelphia Eagles,0,27,9,25,68,0,3,2,8,3.0,2.5,36.0,5.0,19,123,6.5,0,0,1,0,0,4,175,,,,,22:03
1989,13,Sun,December 3,boxscore,L,,,Los Angeles Rams,31,35,19,34,165,4,1,2,14,5.3,4.6,55.9,95.8,31,138,4.5,0,1,1,4,4,5,184,,,,,27:39
1989,14,Sun,December 10,boxscore,L,,@,Philadelphia Eagles,10,20,17,30,107,1,0,5,45,5.1,3.1,56.7,75.3,23,87,3.8,0,1,2,1,1,8,280,,,,,30:21
1989,15,Sat,December 16,boxscore,L,,@,New York Giants,0,15,11,22,67,0,1,2,17,3.8,2.8,50.0,37.5,18,41,2.3,0,0,0,0,0,6,174,,,,,18:01
1989,16,Sun,December 24,boxscore,L,,,Green Bay Packers,10,20,18,28,116,0,4,2,9,4.5,3.9,64.3,33.3,24,113,4.7,0,1,1,1,1,3,116,,,,,29:16
1990,1,Sun,September 9,boxscore,W,,,San Diego Chargers,17,14,13,29,161,1,1,5,32,6.7,4.7,44.8,59.7,29,88,3.0,1,1,1,2,2,7,314,,,,,32:43
1990,2,Sun,September 16,boxscore,L,,,New York Giants,7,28,14,27,136,0,2,2,13,5.5,4.7,51.9,35.4,11,20,1.8,0,0,0,1,1,3,145,,,,,18:20
